unorm,critical_ratio,num_tasks,U_sum,m,schedulable,num_resources,total_requests,max_request_length
0.2,0.8,3,1.903930926866558,10,True,4,136,8.76114679869356
0.7,0.8,7,3.8695485641498086,6,False,2,193,9.964690985472846
0.2,0.5,8,4.2800034438704575,22,True,2,528,7.478088865106151
1.0,1.0,9,3.480401718814925,4,False,1,398,7.530360299022948
0.2,0.7,12,6.482358566280109,33,True,2,207,8.031207768051104
0.4,0.9,14,5.7459925411582145,15,True,2,1074,9.666721806050658
0.8,0.8,4,1.857849886435544,3,False,3,36,9.403461062227676
0.4,0.5,5,1.9315403873639072,5,True,4,110,8.802874204323304
0.2,0.8,5,2.5477251649394814,13,True,3,73,9.181014236399163
1.0,0.6,1,0.22655128998775542,1,True,5,21,9.211597022626663
0.2,1.0,14,7.693973191306842,39,True,2,579,7.070059237047313
0.6,0.9,2,1.0214709908184796,2,True,3,184,8.768092226655721
0.2,0.4,14,6.395516901635137,32,True,2,130,8.707288667025274
0.9,0.7,4,1.9474023215239555,3,False,2,208,5.127995263287325
0.9,0.9,9,4.445537720847892,5,False,2,217,9.521369316457992
0.7,0.5,8,3.52146475801425,6,False,3,794,9.481896037913293
0.4,1.0,11,4.768402660639316,12,True,5,388,5.294839468850129
0.2,0.9,10,4.949389078310221,25,True,1,670,8.713694994815118
0.7,1.0,4,1.8111238688290179,3,False,2,229,7.717125535599821
0.8,0.6,12,6.34112028434161,8,False,1,353,9.475773652912768
0.1,0.8,10,5.426615121823012,55,True,5,581,7.134735092936068
0.5,0.7,12,5.0206663794467685,11,False,5,343,7.664364673311729
0.9,1.0,12,4.554880508533087,6,False,3,699,5.157694506287247
0.3,0.7,10,4.982575788029841,17,True,3,630,8.577559296140972
0.8,0.9,13,5.576104529583024,7,False,1,489,5.4845572508836
0.7,0.7,6,3.259815613651558,5,False,4,380,5.246528853002111
0.9,0.4,4,1.7176131996077908,2,False,1,184,5.831011122739403
1.0,0.6,10,5.4515764243949825,6,False,5,1329,8.01555257945014
0.6,0.8,11,5.228123709315178,9,False,2,580,7.824513971692914
